Version=2
Unit=m3/s
Count=84802
Title=15min discharge
Comment=Karveliotis
Comment=
Comment=Calculated through the formula: q = 23.94*(z+0.01)^1.423, where z is the stage, after removing errors.
Timezone=EET (UTC+0200)
Time_step=15,0
Nominal_offset=0,0
Actual_offset=0,0
Variable=Discharge
Precision=3

2011-12-16 07:45,0.219,
2011-12-16 08:00,0.219,
2011-12-16 08:15,0.219,
2011-12-16 08:30,0.228,
2011-12-16 08:45,0.203,
2011-12-16 09:00,0.211,
2011-12-16 09:15,0.228,
2011-12-16 09:30,0.211,
2011-12-16 09:45,0.219,
2011-12-16 10:00,0.194,
2011-12-16 10:15,0.211,
2011-12-16 10:30,0.228,
2011-12-16 10:45,0.219,
2011-12-16 11:00,0.203,
2011-12-16 11:15,0.203,
2011-12-16 11:30,0.194,
2011-12-16 11:45,0.219,
2011-12-16 12:00,0.203,
2011-12-16 12:15,0.211,
2011-12-16 12:30,0.203,
2011-12-16 12:45,0.219,
2011-12-16 13:00,0.211,
2011-12-16 13:15,0.219,
2011-12-16 13:30,0.203,
2011-12-16 13:45,0.211,
2011-12-16 14:00,0.203,
2011-12-16 14:15,0.194,
2011-12-16 14:30,0.203,
2011-12-16 14:45,0.211,
2011-12-16 15:00,0.219,
2011-12-16 15:15,0.194,
2011-12-16 15:30,0.219,
2011-12-16 15:45,0.219,
2011-12-16 16:00,0.186,
2011-12-16 16:15,0.203,
2011-12-16 16:30,0.219,
2011-12-16 16:45,0.219,
2011-12-16 17:00,0.186,
2011-12-16 17:15,0.263,
2011-12-16 17:30,0.194,
2011-12-16 17:45,0.178,
2011-12-16 18:00,0.178,
2011-12-16 18:15,0.203,
2011-12-16 18:30,0.194,
2011-12-16 18:45,0.194,
2011-12-16 19:00,0.219,
2011-12-16 19:15,0.186,
2011-12-16 19:30,0.211,
2011-12-16 19:45,0.211,
2011-12-16 20:00,0.194,
2011-12-16 20:15,0.170,
2011-12-16 20:30,0.170,
2011-12-16 20:45,0.178,
2011-12-16 21:00,0.170,
2011-12-16 21:15,0.194,
2011-12-16 21:30,0.194,
2011-12-16 21:45,0.178,
2011-12-16 22:00,0.211,
2011-12-16 22:15,0.186,
2011-12-16 22:30,0.194,
2011-12-16 22:45,0.228,
2011-12-16 23:00,0.178,
2011-12-16 23:15,0.186,
2011-12-16 23:30,0.186,
2011-12-16 23:45,0.194,
2011-12-17 00:00,0.186,
2011-12-17 00:15,0.178,
2011-12-17 00:30,0.211,
2011-12-17 00:45,0.219,
2011-12-17 01:00,0.194,
2011-12-17 01:15,0.203,
2011-12-17 01:30,0.228,
2011-12-17 01:45,0.203,
2011-12-17 02:00,0.228,
2011-12-17 02:15,0.228,
2011-12-17 02:30,0.228,
2011-12-17 02:45,0.245,
2011-12-17 03:00,0.228,
2011-12-17 03:15,0.236,
2011-12-17 03:30,0.228,
2011-12-17 03:45,0.219,
2011-12-17 04:00,0.219,
2011-12-17 04:15,0.219,
2011-12-17 04:30,0.219,
2011-12-17 04:45,0.211,
2011-12-17 05:00,0.228,
2011-12-17 05:15,0.228,
2011-12-17 05:30,0.228,
2011-12-17 05:45,0.228,
2011-12-17 06:00,0.219,
2011-12-17 06:15,0.219,
2011-12-17 06:30,0.228,
2011-12-17 06:45,0.211,
2011-12-17 07:00,0.228,
2011-12-17 07:15,0.228,
2011-12-17 07:30,0.228,
2011-12-17 07:45,0.211,
2011-12-17 08:00,0.228,
2011-12-17 08:15,0.211,
2011-12-17 08:30,0.211,
2011-12-17 08:45,0.228,
2011-12-17 09:00,0.219,
2011-12-17 09:15,0.228,
2011-12-17 09:30,0.219,
2011-12-17 09:45,0.219,
2011-12-17 10:00,0.219,
2011-12-17 10:15,0.228,
2011-12-17 10:30,0.228,
2011-12-17 10:45,0.219,
2011-12-17 11:00,0.219,
2011-12-17 11:15,0.228,
2011-12-17 11:30,0.219,
2011-12-17 11:45,0.211,
2011-12-17 12:00,0.228,
2011-12-17 12:15,0.236,
2011-12-17 12:30,0.203,
2011-12-17 12:45,0.228,
2011-12-17 13:00,0.219,
2011-12-17 13:15,0.219,
2011-12-17 13:30,0.211,
2011-12-17 13:45,0.219,
2011-12-17 14:00,0.228,
2011-12-17 14:15,0.219,
2011-12-17 14:30,0.219,
2011-12-17 14:45,0.228,
2011-12-17 15:00,0.203,
2011-12-17 15:15,0.290,
2011-12-17 15:30,0.263,
2011-12-17 15:45,0.299,
2011-12-17 16:00,0.376,
2011-12-17 16:15,0.468,
2011-12-17 16:30,0.376,
2011-12-17 16:45,0.376,
2011-12-17 17:00,0.406,
2011-12-17 17:15,0.416,
2011-12-17 17:30,0.426,
2011-12-17 17:45,0.386,
2011-12-17 18:00,0.386,
2011-12-17 18:15,0.376,
2011-12-17 18:30,0.376,
2011-12-17 18:45,0.406,
2011-12-17 19:00,0.386,
2011-12-17 19:15,0.366,
2011-12-17 19:30,0.436,
2011-12-17 19:45,0.406,
2011-12-17 20:00,0.416,
2011-12-17 20:15,0.406,
2011-12-17 20:30,0.386,
2011-12-17 20:45,0.376,
2011-12-17 21:00,0.327,
2011-12-17 21:15,0.346,
2011-12-17 21:30,0.299,
2011-12-17 21:45,0.386,
2011-12-17 22:00,0.426,
2011-12-17 22:15,0.478,
2011-12-17 22:30,0.566,
2011-12-17 22:45,0.681,
2011-12-17 23:00,0.634,
2011-12-17 23:15,0.693,
2011-12-17 23:30,0.716,
2011-12-17 23:45,0.802,
2011-12-18 00:00,0.716,
2011-12-18 00:15,0.765,
2011-12-18 00:30,0.693,
2011-12-18 00:45,0.741,
2011-12-18 01:00,0.657,
2011-12-18 01:15,0.599,
2011-12-18 01:30,0.611,
2011-12-18 01:45,0.599,
2011-12-18 02:00,0.611,
2011-12-18 02:15,0.577,
2011-12-18 02:30,0.532,
2011-12-18 02:45,0.543,
2011-12-18 03:00,0.543,
2011-12-18 03:15,0.511,
2011-12-18 03:30,0.511,
2011-12-18 03:45,0.457,
2011-12-18 04:00,0.478,
2011-12-18 04:15,0.447,
2011-12-18 04:30,0.416,
2011-12-18 04:45,0.447,
2011-12-18 05:00,0.447,
2011-12-18 05:15,0.426,
2011-12-18 05:30,0.416,
2011-12-18 05:45,0.426,
2011-12-18 06:00,0.426,
2011-12-18 06:15,0.396,
2011-12-18 06:30,0.416,
2011-12-18 06:45,0.416,
2011-12-18 07:00,0.396,
2011-12-18 07:15,0.396,
2011-12-18 07:30,0.396,
2011-12-18 07:45,0.386,
2011-12-18 08:00,0.416,
2011-12-18 08:15,0.386,
2011-12-18 08:30,0.406,
2011-12-18 08:45,0.386,
2011-12-18 09:00,0.376,
2011-12-18 09:15,0.376,
2011-12-18 09:30,0.366,
2011-12-18 09:45,0.376,
2011-12-18 10:00,0.376,
2011-12-18 10:15,0.376,
2011-12-18 10:30,0.366,
2011-12-18 10:45,0.366,
2011-12-18 11:00,0.396,
2011-12-18 11:15,0.356,
2011-12-18 11:30,0.376,
2011-12-18 11:45,0.386,
2011-12-18 12:00,0.386,
2011-12-18 12:15,0.376,
2011-12-18 12:30,0.376,
2011-12-18 12:45,0.366,
2011-12-18 13:00,0.366,
2011-12-18 13:15,0.366,
2011-12-18 13:30,0.366,
2011-12-18 13:45,0.376,
2011-12-18 14:00,0.366,
2011-12-18 14:15,0.346,
2011-12-18 14:30,0.337,
2011-12-18 14:45,0.346,
2011-12-18 15:00,0.337,
2011-12-18 15:15,0.337,
2011-12-18 15:30,0.346,
2011-12-18 15:45,0.337,
2011-12-18 16:00,0.356,
2011-12-18 16:15,0.356,
2011-12-18 16:30,0.356,
2011-12-18 16:45,0.337,
2011-12-18 17:00,0.356,
2011-12-18 17:15,0.356,
2011-12-18 17:30,0.346,
2011-12-18 17:45,0.346,
2011-12-18 18:00,0.346,
2011-12-18 18:15,0.327,
2011-12-18 18:30,0.337,
2011-12-18 18:45,0.346,
2011-12-18 19:00,0.337,
2011-12-18 19:15,0.346,
2011-12-18 19:30,0.356,
2011-12-18 19:45,0.356,
2011-12-18 20:00,0.337,
2011-12-18 20:15,0.337,
2011-12-18 20:30,0.356,
2011-12-18 20:45,0.346,
2011-12-18 21:00,0.346,
2011-12-18 21:15,0.366,
2011-12-18 21:30,0.356,
2011-12-18 21:45,0.356,
2011-12-18 22:00,0.356,
2011-12-18 22:15,0.376,
2011-12-18 22:30,0.356,
2011-12-18 22:45,0.386,
2011-12-18 23:00,0.426,
2011-12-18 23:15,0.521,
2011-12-18 23:30,0.634,
2011-12-18 23:45,0.716,
2011-12-19 00:00,0.681,
2011-12-19 00:15,0.802,
2011-12-19 00:30,0.777,
2011-12-19 00:45,0.669,
2011-12-19 01:00,0.634,
2011-12-19 01:15,0.704,
2011-12-19 01:30,0.741,
2011-12-19 01:45,0.681,
2011-12-19 02:00,0.681,
2011-12-19 02:15,0.634,
2011-12-19 02:30,0.657,
2011-12-19 02:45,0.693,
2011-12-19 03:00,0.611,
2011-12-19 03:15,0.599,
2011-12-19 03:30,0.657,
2011-12-19 03:45,0.599,
2011-12-19 04:00,0.622,
2011-12-19 04:15,0.622,
2011-12-19 04:30,0.669,
2011-12-19 04:45,0.716,
2011-12-19 05:00,0.657,
2011-12-19 05:15,0.646,
2011-12-19 05:30,0.669,
2011-12-19 05:45,0.852,
2011-12-19 06:00,0.865,
2011-12-19 06:15,0.839,
2011-12-19 06:30,0.942,
2011-12-19 06:45,0.942,
2011-12-19 07:00,0.942,
2011-12-19 07:15,0.942,
2011-12-19 07:30,0.929,
2011-12-19 07:45,0.994,
2011-12-19 08:00,0.890,
2011-12-19 08:15,0.814,
2011-12-19 08:30,0.827,
2011-12-19 08:45,0.753,
2011-12-19 09:00,0.789,
2011-12-19 09:15,0.716,
2011-12-19 09:30,0.716,
2011-12-19 09:45,0.669,
2011-12-19 10:00,0.669,
2011-12-19 10:15,0.669,
2011-12-19 10:30,0.681,
2011-12-19 10:45,0.669,
2011-12-19 11:00,0.693,
2011-12-19 11:15,0.704,
2011-12-19 11:30,0.693,
2011-12-19 11:45,0.704,
2011-12-19 12:00,0.693,
2011-12-19 12:15,0.765,
2011-12-19 12:30,0.693,
2011-12-19 12:45,0.716,
2011-12-19 13:00,0.693,
2011-12-19 13:15,0.681,
2011-12-19 13:30,0.657,
2011-12-19 13:45,0.669,
2011-12-19 14:00,0.669,
2011-12-19 14:15,0.646,
2011-12-19 14:30,0.669,
2011-12-19 14:45,0.669,
2011-12-19 15:00,0.588,
2011-12-19 15:15,0.669,
2011-12-19 15:30,0.588,
2011-12-19 15:45,0.646,
2011-12-19 16:00,0.657,
2011-12-19 16:15,0.634,
2011-12-19 16:30,0.646,
2011-12-19 16:45,0.646,
2011-12-19 17:00,0.704,
2011-12-19 17:15,0.669,
2011-12-19 17:30,0.693,
2011-12-19 17:45,0.657,
2011-12-19 18:00,0.657,
2011-12-19 18:15,0.681,
2011-12-19 18:30,0.704,
2011-12-19 18:45,0.646,
2011-12-19 19:00,0.681,
2011-12-19 19:15,0.681,
2011-12-19 19:30,0.728,
2011-12-19 19:45,0.814,
2011-12-19 20:00,0.877,
2011-12-19 20:15,0.929,
2011-12-19 20:30,1.021,
2011-12-19 20:45,1.074,
2011-12-19 21:00,0.955,
2011-12-19 21:15,1.047,
2011-12-19 21:30,0.942,
2011-12-19 21:45,0.981,
2011-12-19 22:00,0.916,
2011-12-19 22:15,0.981,
2011-12-19 22:30,1.021,
2011-12-19 22:45,1.021,
2011-12-19 23:00,0.903,
2011-12-19 23:15,0.890,
2011-12-19 23:30,0.994,
2011-12-19 23:45,1.021,
2011-12-20 00:00,0.929,
2011-12-20 00:15,0.994,
2011-12-20 00:30,0.942,
2011-12-20 00:45,0.955,
2011-12-20 01:00,0.955,
2011-12-20 01:15,1.007,
2011-12-20 01:30,1.021,
2011-12-20 01:45,0.968,
2011-12-20 02:00,0.903,
2011-12-20 02:15,0.890,
2011-12-20 02:30,1.047,
2011-12-20 02:45,1.007,
2011-12-20 03:00,1.021,
2011-12-20 03:15,1.021,
2011-12-20 03:30,1.007,
2011-12-20 03:45,0.955,
2011-12-20 04:00,0.916,
2011-12-20 04:15,0.942,
2011-12-20 04:30,0.955,
2011-12-20 04:45,0.903,
2011-12-20 05:00,0.942,
2011-12-20 05:15,0.916,
2011-12-20 05:30,0.929,
2011-12-20 05:45,0.955,
2011-12-20 06:00,0.955,
2011-12-20 06:15,0.955,
2011-12-20 06:30,1.021,
2011-12-20 06:45,0.981,
2011-12-20 07:00,0.955,
2011-12-20 07:15,0.968,
2011-12-20 07:30,1.061,
2011-12-20 07:45,1.129,
2011-12-20 08:00,1.157,
2011-12-20 08:15,1.034,
2011-12-20 08:30,0.968,
2011-12-20 08:45,0.942,
2011-12-20 09:00,0.890,
2011-12-20 09:15,0.955,
2011-12-20 09:30,1.007,
2011-12-20 09:45,1.021,
2011-12-20 10:00,0.916,
2011-12-20 10:15,0.942,
2011-12-20 10:30,0.877,
2011-12-20 10:45,1.088,
2011-12-20 11:00,1.102,
2011-12-20 11:15,1.021,
2011-12-20 11:30,0.994,
2011-12-20 11:45,1.047,
2011-12-20 12:00,1.074,
2011-12-20 12:15,1.074,
2011-12-20 12:30,1.212,
2011-12-20 12:45,1.198,
2011-12-20 13:00,1.226,
2011-12-20 13:15,1.184,
2011-12-20 13:30,1.212,
2011-12-20 13:45,1.129,
2011-12-20 14:00,1.255,
2011-12-20 14:15,1.170,
2011-12-20 14:30,1.129,
2011-12-20 14:45,1.170,
2011-12-20 15:00,1.129,
2011-12-20 15:15,1.007,
2011-12-20 15:30,1.143,
2011-12-20 15:45,1.143,
2011-12-20 16:00,1.170,
2011-12-20 16:15,1.226,
2011-12-20 16:30,1.184,
2011-12-20 16:45,1.184,
2011-12-20 17:00,1.143,
2011-12-20 17:15,1.157,
2011-12-20 17:30,1.170,
2011-12-20 17:45,1.157,
2011-12-20 18:00,1.129,
2011-12-20 18:15,1.034,
2011-12-20 18:30,1.129,
2011-12-20 18:45,1.143,
2011-12-20 19:00,1.061,
2011-12-20 19:15,1.061,
2011-12-20 19:30,1.021,
2011-12-20 19:45,1.047,
2011-12-20 20:00,1.034,
2011-12-20 20:15,1.074,
2011-12-20 20:30,1.088,
2011-12-20 20:45,0.942,
2011-12-20 21:00,1.102,
2011-12-20 21:15,1.007,
2011-12-20 21:30,1.034,
2011-12-20 21:45,1.007,
2011-12-20 22:00,0.968,
2011-12-20 22:15,1.034,
2011-12-20 22:30,1.007,
2011-12-20 22:45,0.981,
2011-12-20 23:00,0.942,
2011-12-20 23:15,0.942,
2011-12-20 23:30,0.890,
2011-12-20 23:45,0.929,
2011-12-21 00:00,1.034,
2011-12-21 00:15,0.903,
2011-12-21 00:30,0.916,
2011-12-21 00:45,0.916,
2011-12-21 01:00,0.852,
2011-12-21 01:15,0.929,
2011-12-21 01:30,0.916,
2011-12-21 01:45,0.865,
2011-12-21 02:00,0.903,
2011-12-21 02:15,1.021,
2011-12-21 02:30,0.994,
2011-12-21 02:45,0.865,
2011-12-21 03:00,0.942,
2011-12-21 03:15,0.877,
2011-12-21 03:30,0.916,
2011-12-21 03:45,0.968,
2011-12-21 04:00,0.968,
2011-12-21 04:15,0.916,
2011-12-21 04:30,0.981,
2011-12-21 04:45,0.942,
2011-12-21 05:00,0.916,
2011-12-21 05:15,0.929,
2011-12-21 05:30,0.968,
2011-12-21 05:45,0.916,
2011-12-21 06:00,1.007,
2011-12-21 06:15,0.890,
2011-12-21 06:30,1.007,
2011-12-21 06:45,1.007,
2011-12-21 07:00,0.942,
2011-12-21 07:15,0.968,
2011-12-21 07:30,0.903,
2011-12-21 07:45,0.994,
2011-12-21 08:00,0.981,
2011-12-21 08:15,0.877,
2011-12-21 08:30,1.034,
2011-12-21 08:45,0.890,
2011-12-21 09:00,1.061,
2011-12-21 09:15,0.955,
2011-12-21 09:30,1.047,
2011-12-21 09:45,1.061,
2011-12-21 10:00,0.994,
2011-12-21 10:15,1.021,
2011-12-21 10:30,0.903,
2011-12-21 10:45,1.047,
2011-12-21 11:00,1.021,
2011-12-21 11:15,1.061,
2011-12-21 11:30,1.061,
2011-12-21 11:45,1.007,
2011-12-21 12:00,1.061,
2011-12-21 12:15,0.994,
2011-12-21 12:30,0.994,
2011-12-21 12:45,1.047,
2011-12-21 13:00,0.968,
2011-12-21 13:15,1.021,
2011-12-21 13:30,0.916,
2011-12-21 13:45,0.981,
2011-12-21 14:00,0.968,
2011-12-21 14:15,1.034,
2011-12-21 14:30,1.021,
2011-12-21 14:45,1.007,
2011-12-21 15:00,0.916,
2011-12-21 15:15,0.981,
2011-12-21 15:30,0.890,
2011-12-21 15:45,0.852,
2011-12-21 16:00,1.034,
2011-12-21 16:15,0.968,
2011-12-21 16:30,0.981,
2011-12-21 16:45,0.890,
2011-12-21 17:00,0.916,
2011-12-21 17:15,0.968,
2011-12-21 17:30,1.061,
2011-12-21 17:45,1.007,
2011-12-21 18:00,0.916,
2011-12-21 18:15,0.968,
2011-12-21 18:30,0.865,
2011-12-21 18:45,0.814,
2011-12-21 19:00,0.827,
2011-12-21 19:15,0.942,
2011-12-21 19:30,1.047,
2011-12-21 19:45,0.994,
2011-12-21 20:00,0.955,
2011-12-21 20:15,1.074,
2011-12-21 20:30,0.877,
2011-12-21 20:45,1.061,
2011-12-21 21:00,1.312,
2011-12-21 21:15,1.340,
2011-12-21 21:30,1.326,
2011-12-21 21:45,1.297,
2011-12-21 22:00,1.184,
2011-12-21 22:15,1.399,
2011-12-21 22:30,1.623,
2011-12-21 22:45,2.019,
2011-12-21 23:00,1.578,
2011-12-21 23:15,1.906,
2011-12-21 23:30,2.085,
2011-12-21 23:45,1.487,
2011-12-22 00:00,1.922,
2011-12-22 00:15,1.623,
2011-12-22 00:30,1.623,
2011-12-22 00:45,2.134,
2011-12-22 01:00,2.508,
2011-12-22 01:15,2.561,
2011-12-22 01:30,1.922,
2011-12-22 01:45,2.882,
2011-12-22 02:00,2.973,
2011-12-22 02:15,2.937,
2011-12-22 02:30,2.992,
2011-12-22 02:45,3.289,
2011-12-22 03:00,3.538,
2011-12-22 03:15,4.582,
2011-12-22 03:30,4.665,
2011-12-22 03:45,4.437,
2011-12-22 04:00,4.437,
2011-12-22 04:15,4.603,
2011-12-22 04:30,4.665,
2011-12-22 04:45,4.834,
2011-12-22 05:00,6.039,
2011-12-22 05:15,5.836,
2011-12-22 05:30,4.813,
2011-12-22 05:45,3.752,
2011-12-22 06:00,5.154,
2011-12-22 06:15,3.596,
2011-12-22 06:30,3.791,
2011-12-22 06:45,4.919,
2011-12-22 07:00,5.004,
2011-12-22 07:15,4.050,
2011-12-22 07:30,3.950,
2011-12-22 07:45,4.707,
2011-12-22 08:00,4.313,
2011-12-22 08:15,4.354,
2011-12-22 08:30,4.050,
2011-12-22 08:45,4.150,
2011-12-22 09:00,4.171,
2011-12-22 09:15,4.150,
2011-12-22 09:30,4.110,
2011-12-22 09:45,3.480,
2011-12-22 10:00,4.603,
2011-12-22 10:15,3.713,
2011-12-22 10:30,3.576,
2011-12-22 10:45,3.811,
2011-12-22 11:00,4.283,
2011-12-22 11:15,4.770,
2011-12-22 11:30,4.313,
2011-12-22 11:45,4.416,
2011-12-22 12:00,2.992,
2011-12-22 12:15,3.121,
2011-12-22 12:30,3.139,
2011-12-22 12:45,3.084,
2011-12-22 13:00,3.384,
2011-12-22 13:15,3.158,
2011-12-22 13:30,3.252,
2011-12-22 13:45,3.065,
2011-12-22 14:00,3.158,
2011-12-22 14:15,3.831,
2011-12-22 14:30,3.346,
2011-12-22 14:45,3.252,
2011-12-22 15:00,3.084,
2011-12-22 15:15,3.121,
2011-12-22 15:30,2.792,
2011-12-22 15:45,3.121,
2011-12-22 16:00,2.756,
2011-12-22 16:15,2.882,
2011-12-22 16:30,3.308,
2011-12-22 16:45,2.955,
2011-12-22 17:00,2.370,
2011-12-22 17:15,2.828,
2011-12-22 17:30,2.973,
2011-12-22 17:45,2.792,
2011-12-22 18:00,2.882,
2011-12-22 18:15,3.139,
2011-12-22 18:30,2.578,
2011-12-22 18:45,2.578,
2011-12-22 19:00,2.702,
2011-12-22 19:15,2.828,
2011-12-22 19:30,2.631,
2011-12-22 19:45,2.561,
2011-12-22 20:00,2.370,
2011-12-22 20:15,2.201,
2011-12-22 20:30,2.561,
2011-12-22 20:45,2.184,
2011-12-22 21:00,2.422,
2011-12-22 21:15,2.649,
2011-12-22 21:30,2.543,
2011-12-22 21:45,2.439,
2011-12-22 22:00,2.526,
2011-12-22 22:15,2.508,
2011-12-22 22:30,2.508,
2011-12-22 22:45,2.649,
2011-12-22 23:00,2.422,
2011-12-22 23:15,2.052,
2011-12-22 23:30,2.251,
2011-12-22 23:45,2.201,
2011-12-23 00:00,2.370,
2011-12-23 00:15,2.792,
2011-12-23 00:30,2.702,
2011-12-23 00:45,1.747,
2011-12-23 01:00,1.954,
2011-12-23 01:15,2.370,
2011-12-23 01:30,2.218,
2011-12-23 01:45,2.439,
2011-12-23 02:00,2.118,
2011-12-23 02:15,2.792,
2011-12-23 02:30,2.667,
2011-12-23 02:45,2.101,
2011-12-23 03:00,2.234,
2011-12-23 03:15,2.068,
2011-12-23 03:30,2.302,
2011-12-23 03:45,2.422,
2011-12-23 04:00,2.151,
2011-12-23 04:15,2.370,
2011-12-23 04:30,1.890,
2011-12-23 04:45,2.405,
2011-12-23 05:00,2.251,
2011-12-23 05:15,2.184,
2011-12-23 05:30,1.970,
2011-12-23 05:45,1.890,
2011-12-23 06:00,2.336,
2011-12-23 06:15,2.268,
2011-12-23 06:30,2.134,
2011-12-23 06:45,2.201,
2011-12-23 07:00,2.353,
2011-12-23 07:15,2.118,
2011-12-23 07:30,2.003,
2011-12-23 07:45,2.003,
2011-12-23 08:00,1.970,
2011-12-23 08:15,2.003,
2011-12-23 08:30,2.035,
2011-12-23 08:45,1.890,
2011-12-23 09:00,1.970,
2011-12-23 09:15,2.184,
2011-12-23 09:30,1.986,
2011-12-23 09:45,1.458,
2011-12-23 10:00,1.654,
2011-12-23 10:15,1.938,
2011-12-23 10:30,1.608,
2011-12-23 10:45,1.794,
2011-12-23 11:00,1.639,
2011-12-23 11:15,1.716,
2011-12-23 11:30,1.794,
2011-12-23 11:45,1.700,
2011-12-23 12:00,1.778,
2011-12-23 12:15,1.443,
2011-12-23 12:30,1.384,
2011-12-23 12:45,1.532,
2011-12-23 13:00,1.608,
2011-12-23 13:15,1.623,
2011-12-23 13:30,1.472,
2011-12-23 13:45,1.443,
2011-12-23 14:00,1.458,
2011-12-23 14:15,1.428,
2011-12-23 14:30,1.578,
2011-12-23 14:45,1.428,
2011-12-23 15:00,1.443,
2011-12-23 15:15,1.502,
2011-12-23 15:30,1.487,
2011-12-23 15:45,1.608,
2011-12-23 16:00,1.763,
2011-12-23 16:15,1.685,
2011-12-23 16:30,1.922,
2011-12-23 16:45,1.413,
2011-12-23 17:00,1.608,
2011-12-23 17:15,1.428,
2011-12-23 17:30,1.212,
2011-12-23 17:45,1.312,
2011-12-23 18:00,1.255,
2011-12-23 18:15,1.639,
2011-12-23 18:30,1.532,
2011-12-23 18:45,1.312,
2011-12-23 19:00,1.269,
2011-12-23 19:15,1.700,
2011-12-23 19:30,1.547,
2011-12-23 19:45,1.115,
2011-12-23 20:00,1.428,
2011-12-23 20:15,1.283,
2011-12-23 20:30,1.283,
2011-12-23 20:45,1.170,
